filename,category
1-100032-A-0.wav,dog
1-110389-A-0.wav,dog
1-17367-A-10.wav,rain
1-187207-A-20.wav,crying_baby
1-211527-A-20.wav,crying_baby
1-211527-B-20.wav,crying_baby
1-211527-C-20.wav,crying_baby
1-21189-A-10.wav,rain
1-21934-A-38.wav,clock_tick
1-21935-A-38.wav,clock_tick
1-22694-A-20.wav,crying_baby
1-22694-B-20.wav,crying_baby
1-26143-A-21.wav,sneezing
1-26222-A-10.wav,rain
1-29561-A-10.wav,rain
1-29680-A-21.wav,sneezing
1-30226-A-0.wav,dog
1-30344-A-0.wav,dog
1-31748-A-21.wav,sneezing
1-32318-A-0.wav,dog
1-35687-A-38.wav,clock_tick
1-42139-A-38.wav,clock_tick
1-47273-A-21.wav,sneezing
1-47274-A-21.wav,sneezing
1-48413-A-38.wav,clock_tick
1-50060-A-10.wav,rain
1-54505-A-21.wav,sneezing
1-54958-A-10.wav,rain
1-56311-A-10.wav,rain
1-57163-A-38.wav,clock_tick
1-59324-A-21.wav,sneezing
1-59513-A-0.wav,dog
1-60997-A-20.wav,crying_baby
1-60997-B-20.wav,crying_baby
1-62849-A-38.wav,clock_tick
1-62850-A-38.wav,clock_tick
1-63871-A-10.wav,rain
1-81883-A-21.wav,sneezing
1-85362-A-0.wav,dog
1-97392-A-0.wav,dog
2-101676-A-10.wav,rain
2-107351-A-20.wav,crying_baby
2-107351-B-20.wav,crying_baby
2-109505-A-21.wav,sneezing
2-114280-A-0.wav,dog
2-114587-A-0.wav,dog
2-116400-A-0.wav,dog
2-117271-A-0.wav,dog
2-117625-A-10.wav,rain
2-118072-A-0.wav,dog
2-118104-A-21.wav,sneezing
2-118964-A-0.wav,dog
2-119102-A-21.wav,sneezing
2-119748-A-38.wav,clock_tick
2-122104-A-0.wav,dog
2-122104-B-0.wav,dog
2-127108-A-38.wav,clock_tick
2-128631-A-21.wav,sneezing
2-130978-A-21.wav,sneezing
2-130979-A-21.wav,sneezing
2-131943-A-38.wav,clock_tick
2-134700-A-38.wav,clock_tick
2-135728-A-38.wav,clock_tick
2-140147-A-38.wav,clock_tick
2-141584-A-38.wav,clock_tick
2-151079-A-20.wav,crying_baby
2-50665-A-20.wav,crying_baby
2-50666-A-20.wav,crying_baby
2-66637-A-20.wav,crying_baby
2-66637-B-20.wav,crying_baby
2-72970-A-10.wav,rain
2-73027-A-10.wav,rain
2-73260-A-10.wav,rain
2-80482-A-20.wav,crying_baby
2-81731-A-10.wav,rain
2-82367-A-10.wav,rain
2-82538-A-21.wav,sneezing
2-87781-A-10.wav,rain
2-88724-A-38.wav,clock_tick
2-93030-A-21.wav,sneezing
3-132852-A-10.wav,rain
3-136288-A-0.wav,dog
3-140774-A-10.wav,rain
3-141684-A-21.wav,sneezing
3-142005-A-10.wav,rain
3-142006-A-10.wav,rain
3-142593-A-38.wav,clock_tick
3-142601-A-21.wav,sneezing
3-142605-A-21.wav,sneezing
3-143119-A-21.wav,sneezing
3-143929-A-10.wav,rain
3-143933-A-38.wav,clock_tick
3-144028-A-0.wav,dog
3-144692-A-21.wav,sneezing
3-148330-A-21.wav,sneezing
3-150231-A-21.wav,sneezing
3-150363-A-38.wav,clock_tick
3-151080-A-20.wav,crying_baby
3-151081-A-20.wav,crying_baby
3-151081-B-20.wav,crying_baby
3-152007-A-20.wav,crying_baby
3-152007-B-20.wav,crying_baby
3-152007-C-20.wav,crying_baby
3-152007-D-20.wav,crying_baby
3-152007-E-20.wav,crying_baby
3-155312-A-0.wav,dog
3-156558-A-21.wav,sneezing
3-157149-A-10.wav,rain
3-157487-A-10.wav,rain
3-157615-A-10.wav,rain
3-157695-A-0.wav,dog
3-163459-A-0.wav,dog
3-164688-A-38.wav,clock_tick
3-170015-A-0.wav,dog
3-170377-A-38.wav,clock_tick
3-170383-A-38.wav,clock_tick
3-171012-A-38.wav,clock_tick
3-171041-A-38.wav,clock_tick
3-180256-A-0.wav,dog
3-180977-A-0.wav,dog
